1000m        1 SIM 1000公里
KH          67 SPG 阿曼尼開國啟示錄
AMAR3       68 RPG 阿曼尼斯傳說3
TUNTOWN     69 RPG 阿貓阿狗
avalon      70 RPG 阿瓦隆
romantic    71 AVG 哀傷羅曼史
ramses      72 SIM 埃及統治者
adith       73 RPG 艾蒂絲魔法大冒險
ERVLA       74 RPG 艾薇拉
ELVIRA      75 RPG 艾薇拉2
elviraa     76 ACT 艾薇拉動作版
IF1         77 HGA 愛之物語
IF2         78 HGA 愛之物語2
IF3         79 HGA 愛之物語3
arya        80 ACT 安雅戰機
DARKWOLF    81 ACT 暗狼(共享版)
HCHESS      82 PUZ 暗棋聖手
JCHESS      83 PUZ 暗棋侏儸紀
DARKER      84 SIM 暗色
caster      85 ACT 暗影術士
SWARRIOR    86 ACT 暗影武士
shadowl     87 RPG 暗影之地
shadfor     88 AVG 暗影之力
MENZO       89 RPG 暗之紋章
arnie2      90 ACT 奧尼大作戰2
EIGHT       91 HGA 八女神物語
EIGHT2      92 HGA 八女神物語2
matrix      93 RPG 巴克羅傑矩陣立方
doomsday    94 RPG 巴克羅傑末日倒數
BUS         95 SIM 巴士帝國
BARBIE      96 ACT 芭比超級模特
STM         97 RPG 白銀塔裡斯曼傳奇
CDOR        98 SLG 百夫長羅馬防禦
FC          99 PUZ 百戰百勝
liero      100 ACT 百戰地蟲
CREEPERS   101 PUZ 百戰爬蟲
PIPEZ      102 PUZ 百戰水管工
WORMS      103 ACT 百戰天蟲
wormscd    104 ACT 百戰天蟲光碟版
klass999   105 ACT 班級99
crick97    106 SIM 板球97
lolly      107 ACT 棒棒糖
HARDBALL   108 SIM 棒球大聯盟3
hardb4     109 SIM 棒球大聯盟4
ttrap      110 ACT 寶藏陷阱
ERIC       111 AVG 寶裡寶氣騎士
xixit      112 PUZ 寶石迷陣
RAMPART    113 SLG 堡壘防衛戰/領國戰役
retcd      114 SIM 報應
cbobhell   115 ACT 鮑勃逃離地獄
constb     116 ACT 鮑勃跳躍因子
SYND       117 SLG 暴力辛迪加
TERMI      118 ACT 暴怒終結者
BOWLING    119 PUZ 爆笑保齡球
AIR        120 ACT 爆笑出擊
DODGE      121 ACT 爆笑躲避球
QQSANGO    122 PUZ 爆笑三國志
SUIHO      123 PUZ 爆笑水滸傳
SADLAKE    124 AVG 悲戀湖殺人事件
anmoves    125 ACT 北極行動
GNBNA      126 SIM 北太平洋海戰
btvn       127 ACT 貝多芬二世犬
hb         128 AVG 貝弗利山人
forgotw    129 ACT 被遺忘的世界
FRUA       130 RPG 被遺忘之地
gatewayt   131 RPG 邊境寶藏
batmantm   132 ACT 蝙蝠俠電影版
BATR       133 AVG 蝙蝠俠歸來
psychokl   134 AVG 變態殺手
CARD       135 PUZ 飈車小子
BARD1      136 RPG 冰城傳奇
DK         137 RPG 冰城傳奇2
THIEF      138 RPG 冰城傳奇3
coldream   139 ACT 冰冷之夢
hockey95   140 SIM 冰球95
NHL97      141 SIM 冰球聯賽97
FIREICE    142 ACT 冰與火
dboston    143 RPG 波士頓守衛者
PRINCE1    144 ACT 波斯王子
PRINCE2    145 ACT 波斯王子2
4DPRIN     146 ACT 波斯王子民間改版
BFTC       147 PUZ 博比教你國際象棋
MMAD       148 AVG 博物館驚魂夜
shunt      149 ACT 捕獵行動
tot        150 AVG 不給糖就搗蛋
TIM        151 PUZ 不可思議的機器
TIM2       152 PUZ 不可思議的機器2
temim      153 PUZ 不可思議的機器拓展包
IMMORTAL   154 RPG 不朽之人
BSTONE     155 ACT 布萊克之石異星黃金
blake2     156 ACT 布萊克之石異星突擊
HORDE      157 SIM 部落
cruelwor   158 ACT 殘酷世界
carnage    159 ACT 殘殺行動
lland      160 ACT 蒼白之地
rags       161 SIM 鈔票強強滾
spider     162 ACT 超凡蜘蛛俠
tout       163 SIM 超級超越競速
SUPRICH    164 PUZ 超級大富翁
SUPERWAR   165 SLG 超級大戰略
STETRIS    166 PUZ 超級俄羅斯方塊
CHESS22    167 PUZ 超級國際象棋2
SUPERSKI   168 SIM 超級滑雪2
ski3       169 SIM 超級滑雪3
skipro     170 SIM 超級滑雪專業版
SB         171 SIM 超級機車賽
SSF2T      172 ACT 超級街霸2
SUPSF      173 ACT 超級街霸新挑戰者
kart       174 SIM 超級卡丁車
COMANCHE   175 SIM 超級科曼奇
MARIO      176 ACT 超級瑪麗
strio      177 ACT 超級三劍客
sfrog      178 ACT 超級蛙
wzq        179 PUZ 超級五子棋
ssd        180 ACT 超級星塵
SCMC2      181 PUZ 超級學園麻雀海外版
SCMC       182 PUZ 超級學院麻雀
SL         183 AVG 超級英雄聯盟
UNDER      184 RTS 超空霸傳
MAR        185 RPG 超人戰記
QR         186 HGA 超時空G點
MAC        187 SPG 超時空要塞
SUPER      188 SPG 超時空英雄傳說
super2     189 SPG 超時空英雄傳說2
supersp    190 SPG 超時空英雄傳說2SP
over       191 SIM 超速駕駛
DOLLY      192 RPG 超未來少女
radix      193 SIM 超越Void星
outrun     194 SIM 超越競速
beyondab   195 ACT 超越深淵
SILENTA    196 SLG 沉默的艦隊
SS2        197 SIM 沉默潛航2
KHAN       198 SLG 成吉思汗
KHAN3      199 SLG 成吉思汗3
khan2      200 SLG 成吉思汗英版
PUNISH     201 ACT 懲罰者
MSPACEM    202 ACT 吃豆夫人
PACM       203 ACT 吃豆人
pacman     204 ACT 吃豆人初代
CDMAN      205 PUZ 吃豆人山寨版
PAC        206 PUZ 吃豆人時空之旅
gearwork   207 PUZ 齒輪遊戲
CBZZ       208 RPG 赤壁之戰
firew      209 SPG 熾天之翼
skunkart   210 SIM 臭鼬賽車
strider    211 ACT 出擊飛龍
BIG2       212 PUZ 鋤大地2
HAN        213 SLG 楚漢之爭
HAN2       214 SLG 楚漢之爭2
CLXCQ      215 AVG 楚留香傳奇
bintime    216 SLG 穿越之戰
EMPIRE     217 RPG 傳說大陸帝王之子
SIRON      218 RPG 傳說紀元黑暗之屋
LEGACYRT   219 RPG 傳說恐懼之夜
LORE       220 RPG 傳說時代
WOL        221 RPG 傳說勇士
TSUMERA    222 PUZ 創世彈珠檯
GOD        223 SPG 創世封魔傳
CYBERGU    224 SPG 創世機神
ULTIMA1    225 RPG 創世紀1(1987RM版)
ULTIMA2    226 RPG 創世紀2
ULTIMA3    227 RPG 創世紀3
ULTIMA4    228 RPG 創世紀4
ULTIMA5    229 RPG 創世紀5
ULTIMA6    230 RPG 創世紀6
U7         231 RPG 創世紀7上黑月之門
U72        232 RPG 創世紀7下巨蛇之島
U8         233 RPG 創世紀8
SAVAGE     234 RPG 創世紀外傳1荒蕪帝國
MARTIAN    235 RPG 創世紀外傳2火星之旅
CQZ        236 SLG 春秋爭霸傳
CH2        237 SLG 春秋爭霸傳2
uponfor    238 AVG 從前有片林
JS         239 ACT 叢林大作戰
hugo       240 ACT 叢林歷險記
JUNGLE     241 ACT 叢林之書
drwho      242 ACT 達蘭科出擊
BRICKS     243 ACT 打磚塊
DOH        244 ACT 打磚塊2
bsd        245 SIM 大兵日記
LANDS      246 RPG 大地傳說黑暗王座
WOE        247 ACT 大地之怒
Rich1      248 PUZ 大富翁1
rich2      249 PUZ 大富翁2
RICH3      250 PUZ 大富翁3
RICHCITY   251 PUZ 大富翁城市英雄
RICHW      252 PUZ 大富翁環遊世界
crazy      253 PUZ 大富翁總動員
HIGHSEAS   254 SIM 大海商
ocean      255 SIM 大海商
BATTLES    256 PUZ 大海戰
OJB13      257 PUZ 大海戰13
DHH        258 RPG 大航海1
DHH2       259 RPG 大航海2
tbra       260 AVG 大紅大冒險
kong       261 ACT 大金剛
popeye2    262 ACT 大力水手2
ganja      263 ACT 大麻農夫
DAMIN      264 SLG 大明英雄傳
BEE        265 SPG 大魔王物語
bigbiz     266 PUZ 大企業家
DSD        267 SLG 大時代的故事
YFZ        268 SPG 大宋英豪岳飛傳
DTYXZ      269 RPG 大唐英雄傳
DAYA       270 RPG 大野風雲
WAR        271 SLG 大戰略
WARSP      272 SLG 大戰略SP
WARSP2     273 SLG 大戰略SP2
campaign   274 SLG 大戰役
camp2      275 SLG 大戰役2
BIRTH      276 SIM 誕生
shells     277 SIM 彈震坦克
pbw        278 PUZ 彈珠檯世界
FLINES     279 SPG 蕩寇雄獅
WRATH      280 ACT 蕩魔平妖志
IEYASU     281 SPG 德川家康
CWOLF      282 ACT 德軍總部
CAVERNS    283 ACT 德軍總部MOD-CARVEN
GLOOMSTN   284 ACT 德軍總部MOD-DOOM版
REVISIT    285 ACT 德軍總部MOD-ROMAN
DAWN       286 ACT 德軍總部MOD-黎明
SOD        287 ACT 德軍總部命運之矛
DRAC       288 ACT 德庫拉傳說
druid      289 RPG 德魯伊惡魔之心
DUCKTALE   290 ACT 迪斯尼奪寶奇兵
NDET       291 SIM 底特律汽車大亨
quiver     292 ACT 地動山搖
ERTH2140   293 RTS 地球2140
SP         294 SIM 地球圍攻
UW1        295 RPG 地下創世紀
UW2        296 RPG 地下創世紀2
dkremlin   297 ACT 地下克里姆林宮
helltopa   298 ACT 地獄付費之旅
hellfire   299 ACT 地獄火
heck       300 AVG 地獄賽博朋克
HELL       301 PUZ 地獄也瘋狂
empire2    302 SLG 帝國2
DG         303 SLG 帝國的光榮
empired    304 SLG 帝國豪華版
FLOOR13    305 SIM 第13樓
13RD       306 AVG 第13支局
day3       307 ACT 第3日龍之力量
Icarus     308 ACT 第4日伊卡洛斯
5thflet    309 SLG 第5艦隊
asdragon   310 ACT 第5日龍機突擊
10TH       311 SIM 第十瓶-保齡
touche     312 AVG 第五個火槍手
samv       313 ACT 第一武士
dyork      314 ACT 蒂斯蛋蛋黃王子
fastfood   315 ACT 蒂斯蛋快餐世界
fwdizzy    316 ACT 蒂斯蛋夢幻世界
fdizzy     317 ACT 蒂斯蛋夢幻之旅
bubbled    318 ACT 蒂斯蛋泡泡冒險
COMPUTER   319 RPG 電腦魔域
CAMMAN     320 HGA 電影工坊
popple     321 ACT 電子波動
electro    322 ACT 電子俠
splat      323 SIM 喋血賽車
discw      324 AVG 碟形世界
discw2     325 AVG 碟形世界2
POS        326 ACT 丁丁歷險記太陽之罪
TINTIN     327 ACT 丁丁在西藏
actsoc     328 SIM 動作足球
CAVE       329 RTS 洞穴戰爭
DUCK       330 ACT 都市飛鴨
DSZ        331 ACT 鬥神傳
drugwars   332 ACT 毒品戰爭
TOXBUNNY   333 ACT 毒兔崽子
indycar    334 SIM 獨立車賽
indycar2   335 SIM 獨立賽車2
DLZZ       336 SLG 獨立戰爭
GAMBGOD    337 PUZ 賭神至尊之戰
wttw       338 SLG 對抗戰爭
antagony   339 ACT 對手
f2b        340 ACT 遁入黑暗
capflag    341 SLG 奪旗大戰
OREGON     342 SIM 俄勒岡小道
TETRIS     343 PUZ 俄羅斯方塊
TETRISC    344 PUZ 俄羅斯方塊經典版
RSIXPAK    345 PUZ 俄羅斯拼盤
CEGA       346 ACT 惡魔城
VEIL       347 AVG 惡魔禁地
VEILE      348 AVG 惡魔禁地英文版
dgate      349 RPG 惡魔之門
N3D        350 ACT 噩夢3D
FRANKO     351 ACT 法蘭克瘋狂復仇
CW         352 ACT 犯罪浪潮
GPC        353 SIM 方程式賽車
thefortr   354 ACT 放射博士的城堡
UFO        355 PUZ 飛碟任務
flytiger   356 ACT 飛虎隊
FTIGERS2   357 ACT 飛虎隊2
ZEPPELIN   358 SIM 飛空艇
AA         359 ACT 飛狼突擊隊
drgnsprt   360 ACT 飛龍傳奇
DSTRIKE    361 SIM 飛龍騎士
AUTODUEL   362 RPG 飛輪勇士
EKNIGHT    363 SPG 飛鷹騎士
FYFZY      364 AVG 飛躍瘋人院
AFRICA     365 PUZ 非洲探險
AFRICA2    366 PUZ 非洲探險2
HIO2       367 RPG 緋王傳2
WL         368 RPG 廢土
CHASM      369 ACT 分歧:裂痕
stormmas   370 SLG 風暴領主
eos        371 SIM 風暴之眼
FCSX       372 RPG 風塵三俠之金劍使者
INDY       373 SIM 風馳電掣
WINDW      374 RPG 風行者
STORM      375 ACT 風神傳承
GP2        376 SIM 風速小子
DYNASTY    377 RTS 風雪江山
windwill   378 AVG 風語河岸柳
POWERM     379 SLG 風雲霸主
FY         380 ACT 風雲天下三國篇
vmyth      381 ACT 封神榜格鬥
GS         382 SPG 封神演義
MADDOG     383 ACT 瘋狗
MDWVGA     384 AVG 瘋狗威廉的地下城之旅
RAMPAGE    385 ACT 瘋狂大毀滅
MANIA      386 RTS 瘋狂大陸
madtv      387 SIM 瘋狂電視台
crazyf     388 SIM 瘋狂橄欖球
SCIENCE    389 PUZ 瘋狂科學機器
cc2        390 SIM 瘋狂賽車2
cc3        391 SIM 瘋狂賽車3
DOTT       392 AVG 瘋狂時代
CRAZYD     393 PUZ 瘋狂雙響炮
XLS        394 PUZ 瘋狂小旅鼠
lemm2      395 PUZ 瘋狂小旅鼠2
L3         396 PUZ 瘋狂小旅鼠3
ducks      397 PUZ 瘋狂小鴨
DOCTOR     398 SIM 瘋狂醫院
DR2        399 SIM 瘋狂醫院2
MADMAN     400 RPG 瘋子
COMELA     401 HGA 蜂箱賭坊
DAWNRAID   402 ACT 拂曉攻擊
FOERMOSA   403 AVG 福爾摩莎
HOLMES2    404 AVG 福爾摩斯2玫瑰紋身
HOLMES     405 AVG 福爾摩斯失落的文件
BB         406 ACT 福祿雙霸天
blue2      407 ACT 福祿雙霸天2
FORD       408 SIM 福特模擬駕駛
GOLDEN     409 AVG 富貴列車
RICHT      410 PUZ 富甲天下
RICHT2     411 PUZ 富甲天下2
DLORD      412 SLG 蓋世龍王
sens       413 SIM 感官足球
swoc       414 SIM 感官足球95
rugby95    415 SIM 橄欖球世界盃95
MLF2       416 SIM 橄欖球小聯盟
clashofs   417 SLG 鋼鐵衝突
future     418 SLG 鋼鐵衝突未來版
IRONLORD   419 SLG 鋼鐵領主
GTQS       420 SLG 鋼鐵騎士團
ironcros   421 SLG 鋼鐵十字
discist    422 RPG 鋼鐵信條
NOS        423 ACT 鋼鐵意志
steel1     424 SLG 鋼鐵之路1
steel2     425 SLG 鋼鐵之路2
steel3     426 SLG 鋼鐵之路3
AF         427 SIM 鋼鐵之拳
ironseed   428 SLG 鋼鐵之心
ironbloo   429 ACT 鋼鐵之血
HR         430 SLG 高報酬戰將
LINKS      431 SIM 高爾夫訓練
LINKS386   432 SIM 高爾夫訓練386
ADCIVI     433 SLG 高級文明
age        434 SIM 高級銀河帝國
asterix    435 ACT 高盧英雄傳
hhunter    436 ACT 高速獵人
GMAP       437 SPG 高校魔影
discover   438 SLG 哥倫布發現之旅
eardis     439 ACT 革命力量
OVERKILL   440 ACT 格鬥:過度殺戮
TOUGH      441 ACT 格鬥悍將
FIGHTER    442 ACT 格鬥拳王
bs         443 RTS 格殺令
qt         444 SIM 隔離區1
ROADW      445 SIM 隔離區2馬路英雄
SETLERS    446 RTS 工人物語
SETTLE2    447 RTS 工人物語2
carnage2   448 SIM 公路狂飆
BCRACERS   449 SIM 公元前車賽
MDK        450 ACT 孤膽槍手
UNINV      451 AVG 古堡之宴
FS1        452 SPG 古大陸物語
FS2        453 SPG 古大陸物語2
FARLAND    454 SPG 古大陸物語4
FS5        455 SPG 古大陸物語5光盤版
DOOFUS     456 ACT 古怪小搭檔
eternam    457 AVG 古怪星球伊特蘭
wicked     458 ACT 古怪之夢
TOMB       459 ACT 古墓麗影
GSJWZ      460 RPG 古事記外傳(日文)
loak       461 SPG 古文明霸王傳
HG         462 RPG 僱傭之槍
mcritic    463 AVG 關鍵任務
TTLESSON   464 HGA 官能習教
tubular    465 ACT 管狀世界
rallycha   466 SIM 冠軍拉力賽
cm296      467 SIM 冠軍足球經理2
slamjam    468 SIM 灌籃96
KK10       469 ACT 灌籃金剛
MISSION    470 HGA 光明聖使團
DFORCE     471 SPG 光明戰史
bald       472 RTS 光頭大戰
MONK       473 RPG 鬼馬小英雄
ALONE      474 AVG 鬼屋魔影
INDARK2    475 AVG 鬼屋魔影2
ALONE3     476 AVG 鬼屋魔影3
jid        477 AVG 鬼屋魔影萬聖節特別篇
boneshm    478 AVG 鬼屋文字冒險
thepatri   479 SLG 貴族
supercar   480 SIM 國際超級車賽
motorx     481 SIM 國際摩托賽
BOXING     482 ACT 國際拳擊賽
inr        483 ACT 國際忍者兔
ISPORT     484 SIM 國際體育聯賽
ITO        485 SIM 國際網球聯賽
T2         486 PUZ 國際象棋末日審判版
ARCHON1    487 PUZ 國際象棋巫術對決
REALMS     488 SLG 國土爭霸
KB         489 SLG 國王的恩賜
KTLOR      490 PUZ 國王的桌游
KQ1        491 AVG 國王密使1皇冠探求
KQ2        492 AVG 國王密使2皇家羅曼史
KQ3        493 AVG 國王密使3魔法生死門
KQ4        494 AVG 國王密使4羅塞拉冒險
king5      495 AVG 國王密使5失城記
king6      496 AVG 國王密使6希望之旅
overki92   497 ACT 過度殺戮92
sealt      498 SIM 海豹突擊隊
cpirat     499 SLG 海盜大戰
mps        500 SIM 海盜黃金版
navystri   501 SIM 海軍出擊
SEAWOLF    502 SIM 海狼
HEIMDALL   503 RPG 海姆達
HEIM2      504 RPG 海姆達2
legends    505 SLG 海上傳奇
surfninj   506 ACT 海灘鬥忍者
searogue   507 SIM 海下羅格
pushover   508 PUZ 海洋多米諾
MWAR       509 PUZ 漢堡戰爭
HANNIBAL   510 SLG 漢尼拔
F16        511 SIM 捍衛雄鷹
BRAND      512 RPG 撼天神塔
br2        513 RPG 撼天神塔2
BR3        514 RPG 撼天神塔3
vt         515 RPG 撼天神塔VT
pe         516 RPG 行星邊際
gloriana   517 SLG 航海世紀
AM2        518 SIM 航空霸業2
deluxe     519 PUZ 豪華彈珠檯
hollymur   520 AVG 好萊塢謀殺案
WEIRD      521 ACT 好夢連床
METAL      522 ACT 合金裝備
metal2     523 ACT 合金裝備2
KAWA       524 HGA 河源崎家一族(日)
ldm        525 SIM 荷蘭人的失落之礦
RWARRIOR   526 ACT 核能武士
NUKEWAR    527 SLG 核戰狂人夢
herasor    528 RPG 赫拉瑞恩之劍
BLIND      529 RPG 黑暗的公證
DLEGIONS   530 SLG 黑暗軍團/魔法伏擊戰
darkspyr   531 RPG 黑暗迷宮
SLG        532 SPG 黑暗聖戰錄
darkages   533 ACT 黑暗時代三部曲
DARKAG     534 RPG 黑暗天使
obitus     535 RPG 黑暗元素
DARKLAND   536 RPG 黑暗之地
TOS        537 AVG 黑暗之蠱
UUKRUL     538 RPG 黑暗之心
BH         539 PUZ 黑洞謎題
BSTREET    540 ACT 黑街風雲
BJACK      541 PUZ 黑傑克
BJ         542 HGA 黑傑克S
DARKSUN    543 RPG 黑日危機
dsun2      544 RPG 黑日危機2
bsect      545 AVG 黑色街區
BLADE      546 ACT 黑武士
blakstar   547 AVG 黑星正義使者
BC         548 HGA 黑之斷章
SIDE4      549 PUZ 橫版俄羅斯方塊
STRIFE     550 ACT 橫掃
JHMJ       551 PUZ 紅樓夢麻將
HLM        552 HGA 紅樓夢之十二金釵
redcat     553 ACT 紅貓1
redcat2    554 ACT 紅貓2
krono      555 AVG 紅色地獄納粹悖論
REDSTORM   556 SIM 紅色風暴
RA         557 RTS 紅色警戒
RB         558 SIM 紅色男爵
rc         559 RPG 紅色水晶石
RED        560 HGA 紅色誘惑
bigred     561 SIM 紅色越野拉力賽
rage       562 ACT 洪荒格鬥
zyclunt    563 ACT 洪流劍客
MONKEY     564 AVG 猴島小英雄
MONKEY2    565 AVG 猴島小英雄2
sr         566 SIM 呼嘯拉力賽
screamer   567 SIM 呼嘯賽車
scream2    568 SIM 呼嘯賽車2
fr1        569 ACT 狐戰機
NBA        570 ACT 湖人對凱爾特人
IM2        571 ACT 虎膽妙算
AMBER      572 RPG 琥珀之星
HML        573 SPG 花木蘭
k2         574 HGA 華麗人生2
slicks     575 SIM 滑溜小賽車
slip5000   576 SIM 滑流5000
rolling    577 ACT 滑輪小子
ronny2     578 ACT 滑輪小子2
SKI        579 SIM 滑雪場
HAPPYCT    580 PUZ 歡樂城市
9poker     581 PUZ 歡樂接龍
HAPPYMJ    582 PUZ 歡樂麻將
AYUMI      583 HGA 歡樂天使
HAPPY      584 PUZ 歡樂幸福人
ring       585 AVG 環世界
HJBZ       586 RTS 幻界霸者
GENSE      587 RPG 幻世喜譚
illusion   588 ACT 幻想火焰
LS1        589 AVG 幻想空間
LSL2       590 AVG 幻想空間2
LSL3       591 AVG 幻想空間3
LS5        592 AVG 幻想空間5
HXKJ6      593 AVG 幻想空間6
hxqxz      594 RPG 幻想奇俠傳
pinballi   595 PUZ 幻象彈珠檯
DIF2       596 ACT 幻象雷電
acthero    597 ACT 幻影英雄
savagew    598 ACT 荒蠻勇士格鬥
KING       599 SLG 皇帝
crown      600 ACT 皇冠
QUEEN      601 SIM 皇后
lasthero   602 ACT 黃飛鴻鐵公雞斗蜈蚣
PWT        603 ACT 黃瓜戰爭三部曲
ashempi    604 SLG 灰燼帝國
story2     605 ACT 回到大魔域
duke       606 ACT 毀滅公爵1
NUKE2      607 ACT 毀滅公爵2
DUKE3D     608 ACT 毀滅公爵3D
dderby     609 SIM 毀滅競技場
massd      610 ACT 毀滅坦克
ravage     611 ACT 毀滅戰機
DOOM       612 ACT 毀滅戰士
DOOM2L     613 ACT 毀滅戰士2終結版
doom2d     614 ACT 毀滅戰士橫版
TARGHAN    615 ACT 毀天滅地
bedlam     616 ACT 混沌機甲1
bed2       617 ACT 混沌機甲2
ROGUS      618 ACT 混沌之地
wing       619 ACT 混戰之翼
titus      620 ACT 火狐冒險
roadf      621 ACT 火箭車
rckcht     622 ACT 火箭手
CROSSF     623 ACT 火線交叉
vinyl      624 ACT 火星女神
martianm   625 AVG 火星人備忘錄
fp         626 ACT 火焰之力
fk         627 ACT 火焰之王
THEXDER    628 ACT 機動戰士
MTECH      629 SIM 機甲部隊
inter      630 ACT 機甲戰神
mech231    631 SIM 機甲戰士2第31世紀
mech2m     632 SIM 機甲戰士2僱傭兵
mw2gbl     633 SIM 機甲戰士2熊魂遺蹟
RISE       634 ACT 機器人崛起
cyber      635 SLG 機械帝國
cm         636 ACT 機械法師
galactix   637 ACT 機械小蜜蜂
cyberdog   638 ACT 機械戰隊
BD         639 SIM 機戰網絡
bioforge   640 AVG 基因鍛造
splicing   641 RPG 基因分裂
gene       642 AVG 基因機器
NPOLICE    643 ACT 緝毒刑警
JDZS       644 ACT 激鬥戰士
lasersqd   645 SPG 激光部隊
GOAL       646 SIM 激情足球
SCONTROL   647 SIM 激戰M星云
STARCON    648 SIM 激戰M星云2
giana      649 ACT 吉安娜姐妹
JILL       650 ACT 吉爾在叢林
JILL2      651 ACT 吉爾在叢林2地下冒險
jill3in1   652 ACT 吉爾在叢林3合1
JILL3      653 ACT 吉爾在叢林3拯救王子
typhoon    654 ACT 極超豪拳
NFS        655 SIM 極品飛車
pinballe   656 PUZ 極限彈珠檯
extreme    657 SIM 極限突襲
shaste     658 SIM 急速狂飆
speedr     659 SIM 急速挑戰
FLASH21    660 PUZ 記憶測驗
FC96       661 SIM 甲A風雲
sabre      662 SIM 尖刀部隊
OBC        663 ACT 殲敵行動
lychnis    664 ACT 剪秋羅
CONST      665 RTS 建築大師
YOHGAS     666 HGA 劍芒羅曼史
jxqy       667 RPG 劍俠情緣
aegis      668 SIM 艦隊守護神
VIRT       669 ACT 鑑賞家
STALKER    670 PUZ 江湖任我行
JRPG       671 RPG 江湖外傳
TON        672 RPG 江南才子唐伯虎
CONAN      673 RPG 降魔勇士
ad         674 AVG 交錯的命運
td2192     675 ACT 交通局2192
JOGUEST    676 HGA 嬌的客人
glad       677 ACT 角鬥士
GODF       678 AVG 教父
JL777      679 PUZ 接龍777
kingpin    680 SIM 街機保齡
APOOL      681 PUZ 街機桌球
jammit     682 SIM 街球大灌籃
SF         683 ACT 街頭霸王1
PIT        684 ACT 街頭地下格鬥
freedc     685 AVG 解救華盛頓
JPM        686 HGA 金瓶梅之偷情寶鑑
mmt        687 ACT 金屬變異人
JYKD       688 ACT 金庸快打
LEGEND     689 RPG 金庸群俠傳
extremis   690 ACT 緊急關頭
ELFISH     691 PUZ 進化魚
POWER      692 SIM 勁力賽車
GLORIA     693 HGA 禁斷之血族
TABOO      694 HGA 禁忌
HQ         695 RPG 禁煙風雲錄
TOCO       696 SPG 精靈幻界
GLWS       697 SPG 精靈物語
SCID       698 AVG 警察故事
pq1vga     699 AVG 警察故事1重製版
pq2        700 AVG 警察故事2
SCID3      701 AVG 警察故事3
CISCO      702 SIM 舊金山警車大賽
wvoyage    703 RPG 巨鯨宇宙號
advhcave   704 AVG 巨窟文字冒險
AARGH      705 ACT 巨獸侵襲
CYCLONE    706 ACT 颶風機甲
FTFGAME    707 PUZ 決戰俄羅斯
KARATEKA   708 ACT 決戰富士山
LINI       709 AVG 決戰皇陵
DB         710 RPG 絕代雙驕
KKND       711 RTS 絕地風暴
HEAVEN     712 AVG 絕地-眾神的詛咒
az         713 SIM 絕對零度
HOPE       714 RPG 絕音魔琴
DIGGERS    715 PUZ 掘金者
digger2    716 PUZ 掘金者2
JAZZJACK   717 ACT 爵士兔
JAZZCD     718 ACT 爵士兔:光碟增強版
jazzxmas   719 ACT 爵士兔:假日兔94
JAZZ95     720 ACT 爵士兔:假日兔95
Jazzfull   721 ACT 爵士兔完整版
ARSENAL    722 RTS 軍備競賽
CCS        723 AVG 卡拉漢時空沙龍
